property_id,latitude,longitude,park,gym,shop
94e019621dc04aece86e12aa829bd0e5,51.4015151,-0.0762156,Grangewood Park,Yoga Mela,ALDI
95937b33d0075a15538983dbc9184224,51.4757823,-0.1084206,Kennington Park,PureGym London Oval,Lidl
bd67ae1a125cea1039fee1f4c95c9207,51.5043933,-0.0457696,Stave Hill Ecological Park - TCV,Canada Water Studios,Sainsbury's Local
58faad9840fb63555645120ad3516d1e,51.4255297,-0.2050566,South Park Gardens,Third Space Wimbledon,Morrisons
482c87597d0c6bb359410892485209ec,51.5080065,-0.2134538,Holland Park,Kensington Leisure Centre,Lidl
e197f995296705e47dfa45400f449d38,51.5131583,-0.131321,Victoria Embankment Gardens,Psycle Oxford Circus,Marks and Spencer
990256577e6c836f7647ebd5e8fe1de7,51.4946512,-0.2407673,Ravenscourt Park,The Hogarth Health Club,Lidl
451c4278039e732714ff42eb1fca8f2f,51.5662596,-0.2022005,Golders Hill Park,David Lloyd Cricklewood Lane,Sainsbury's
0b5c3db4e94d500b7c95ae2c1192aa1d,51.5255029,0.0009274,Memorial Recreation Ground,The Gym Group London Bromley By Bow,Tesco Superstore
cd6ed84acbf14c128924f440b8f33136,51.5210442,-0.1718233,Rembrandt Gardens,The Gym Group London Paddington,ALDI
d372e0a5679503222db2a059638e17f4,51.4946512,-0.2407673,Ravenscourt Park,The Hogarth Health Club,Lidl
e853e5e848d308465467a83c7e8ac15f,51.4888454,-0.2853653,The National Archives,Virgin Active,Sainsbury's Local
44be1683fd5a4a37b14476d33f94194d,51.4616374,-0.2120607,Wandsworth Park,The Dance Lab,Lidl
e926b427ceb1a5b1ff6cbdead1bd82b8,51.59084259999999,-0.0618819,"Walthamstow Wetlands, London Wildlife Trust",Tottenham Green Leisure Centre,Tesco Superstore
d5cafcbdec2c2248f08a5a85e29093ff,51.5724834,-0.1191701,Parkland Walk,Virgin Active,Tesco Superstore
7e1619f4165d1f61a22f8c26a0ebdd6b,51.5906243,-0.1678688,Cherry Tree Wood,Mighteefit Health Studio,Tesco Express
38e2149f40269bf195005f497df9fd41,51.59084259999999,-0.0618819,"Walthamstow Wetlands, London Wildlife Trust",Tottenham Green Leisure Centre,Tesco Superstore
796c03e420a5095b1a20a789fc6fa1fc,51.57324209999999,-0.0854772,"Woodberry Wetlands, London Wildlife Trust",West Reservoir Centre,Sainsbury's
9e68a0ea0e3188d19d5541bf9bbb4cb6,51.4946512,-0.2407673,Ravenscourt Park,The Hogarth Health Club,Lidl
b3f6af05b34bd90e5745c7a6ff8daf67,51.4946512,-0.2407673,Ravenscourt Park,The Hogarth Health Club,Lidl
ddebf94dd394152e3a219f71ee815373,51.4816686,-0.2845665,"Royal Botanic Gardens, Kew",Legends Boxing Gym,Marks and Spencer
5d71cc372a66151d8da40f398f0774ce,51.4154828,-0.218859,Dundonald Recreation Ground,Virgin Active,Sainsbury's
f72636fdecaa7a17ef1277470aecec62,51.4955643,-0.1657131,No park,Ethos Sports Centre,Marks and Spencer
7dba77c31e0705df9f8b635a264613a7,51.59084259999999,-0.0618819,"Walthamstow Wetlands, London Wildlife Trust",Tottenham Green Leisure Centre,Tesco Superstore
70bab40227cfa6f95dd7f2f5986e167f,51.5166423,0.0109006,Keir Hardie Recreation Ground,The Gym Group London Canning Town,Morrisons
40ffeca3bf050b9b890c9554eecedeb0,51.5544574,-0.1933721,Camden Art Centre Café & Garden,The Gym Group London West Hampstead,Little Waitrose & Partners
ead50146ceca39eaa9fca6efe55f3d7a,51.59084259999999,-0.0618819,"Walthamstow Wetlands, London Wildlife Trust",Tottenham Green Leisure Centre,Tesco Superstore
34f2810d2efd3814f4b5c611808264ed,51.4879297,-0.2794147,The National Archives,Virgin Active,Sainsbury's Local
bf3328d7e80fddf819c177bc3c37345d,51.4301736,-0.1520261,Tooting Commons,Tooting Bec Athletics Track & Gym,Lidl
e3c02db41b2a8caf7ac4183a1505630a,51.4192918,-0.2027961,Dundonald Recreation Ground,Third Space Wimbledon,Morrisons
7dd3acb7333457ec56b6aaec1a9e71f9,51.4758762,-0.1859369,Eel Brook Common,Harbour Clubs Chelsea,Sainsbury's
3c564038fcafbe0a60a3fd750d51b09e,51.59084259999999,-0.0618819,"Walthamstow Wetlands, London Wildlife Trust",Tottenham Green Leisure Centre,Tesco Superstore
248082242fd693d1eda44621a6907fdf,51.4871735,-0.0363705,Deptford Park,Surrey Docks Fitness & Water Sports Centre,Lidl
5b0137a2bfde1259eab95f0f0fecc699,51.5804214,-0.1240854,Parkland Walk,Park Road Leisure Centre & Lido,Little Waitrose & Partners
